#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:05:46.891

Frequency (Hz),Channel 1 (V),Channel 2 (V)
0,0.9008136140924363,0.057120912430959694
2.460103033051189,0.869291335801246,0.05511973750889831
4.920206066102378,0.5811057703549858,0.03684361762094813
7.380309099153568,0.17482952277206637,0.011085877649387765
9.840412132204756,0.012584613308689128,0.0008021775118711452
12.300515165255945,5.1668100457571556e-5,1.6092659070431373e-5
14.760618198307135,4.716395190299593e-5,1.6727593223204288e-5
17.220721231358322,3.632022855240276e-5,1.2359701525505787e-5
19.680824264409512,2.0483884510221153e-5,1.065351102842696e-5
22.140927297460703,4.262260152190871e-6,8.063110363330978e-6
24.60103033051189,2.1106004098682192e-6,1.2345202074596747e-5
27.06113336356308,3.2243243365144763e-6,1.3239893123271379e-5
29.52123639661427,5.0289547509121046e-6,4.3551276407603115e-6
31.981339429665457,1.0607685383359603e-5,1.0008006497099077e-5
34.441442462716644,1.977007706140396e-5,1.3889561065078314e-5
36.901545495767834,2.1842784661505234e-5,1.4795677707133223e-5
39.361648528819025,1.9625390341865905e-5,2.1268450883878645e-5
41.821751561870215,1.5932083154361942e-5,1.910069366472778e-5
44.281854594921406,1.4988903628820336e-5,2.1340700010856754e-5
46.74195762797259,2.987226830204626e-5,2.8490922058439577e-5
49.20206066102378,4.825566559112983e-5,3.9564467802224254e-5
51.66216369407497,0.0006916659982197076,0.0007023298294372936
54.12226672712616,0.0034622010231705096,0.0035617128624887105
56.58236976017735,0.006724134787570556,0.006930064605337345
59.04247279322854,0.007585846730499154,0.007828015479049941
61.502575826279724,0.007535006674036961,0.007777674996004733
63.962678859330914,0.006153300908416014,0.006347303063872279
66.4227818923821,0.002663640664653915,0.0027492351616006444
68.88288492543329,0.0003949180689854011,0.00041129826273150343
71.34298795848449,5.356341885442445e-5,5.401379454185956e-5
73.80309099153567,3.870311621469968e-5,4.1925650587381097e-5
76.26319402458687,1.1407707829771878e-5,2.125593248919462e-5
78.72329705763805,1.2211885777422583e-5,1.2246684470056703e-5
81.18340009068923,1.7504439805508148e-5,1.2435361117934667e-5
83.64350312374043,2.443328922533062e-5,1.9395735854053374e-5
86.10360615679161,2.4529371897028393e-5,2.272420540503035e-5
88.56370918984281,1.8211200200803274e-5,1.5447477194584604e-5
91.023812222894,1.0535771112424363e-5,6.0804026123789625e-6
93.48391525594518,1.0898577104912958e-5,1.489529700030493e-5
95.94401828899638,1.6418262930217967e-5,2.3825198427975866e-5
98.40412132204756,2.179863515221864e-5,2.6332575723144083e-5
100.86422435509876,2.0755603249819293e-5,2.364221411938023e-5
103.32432738814994,6.953829466825577e-6,7.437866081415872e-6
105.78443042120112,1.9468181710571104e-5,2.182258883783098e-5
108.24453345425232,3.600726519245523e-5,4.017864028987467e-5
110.7046364873035,5.2675939746047614e-5,6.278212320033051e-5
113.1647395203547,0.00012269358906277775,0.00015225291999563565
115.62484255340588,0.0002431612918840816,0.0003031942487473368
118.08494558645708,0.00030099325941007995,0.0003776642007227026
120.54504861950826,0.000301739287964223,0.0003774554457576558
123.00515165255945,0.0002858351421052721,0.00035191967893438025
125.46525468561065,0.00019180357724495544,0.00023068066034032304
127.92535771866183,8.398923180644939e-5,9.633472393872096e-5
130.38546075171303,5.296763922201077e-5,5.4766198112777936e-5
132.8455637847642,4.906486314401645e-5,4.814782921333909e-5
135.3056668178154,2.826103978527887e-5,2.7150568640831077e-5
137.76576985086658,1.4039786092562943e-5,2.589446755384335e-5
140.2258728839178,2.2399190796754938e-5,3.6235934771840934e-5
142.68597591696897,2.4172062350368492e-5,3.599368346043446e-5
145.14607895002015,2.5589270625035604e-5,3.0575373069388944e-5
147.60618198307134,2.134060242790727e-5,2.0019631423968585e-5
150.06628501612252,1.176731458075309e-5,1.1786476815406972e-5
152.52638804917373,1.0604253996894767e-5,1.9171049518845896e-5
154.98649108222492,1.6424953147678986e-5,2.4661589785447487e-5
157.4465941152761,1.5524144109245352e-5,2.0462528926459738e-5
159.90669714832728,1.498540163578307e-5,1.222877060646649e-5
162.36680018137847,8.979978892538198e-6,8.795986808424522e-6
164.82690321442968,3.579514244676966e-5,3.892068664074288e-5
167.28700624748086,5.631718000035335e-5,6.26754234381369e-5
169.74710928053204,5.917159406925636e-5,7.466884915963573e-5
172.20721231358323,0.0004195072720852593,0.00048644171274589095
174.6673153466344,0.0016289491244281954,0.0018636156883631416
177.12741837968562,0.002702274412974563,0.0030873052124631675
179.5875214127368,0.0028617179532873255,0.003269207492135931
182.047624445788,0.0027836752843462243,0.0031845710948282782
184.50772747883917,0.0020388529588929766,0.002340266729007178
186.96783051189036,0.000720072983686831,0.0008380594189584894
189.42793354494157,8.490357666753172e-5,0.00011439484485683132
191.88803657799275,5.145542490647097e-5,6.914275334701642e-5
194.34813961104393,3.735338087613793e-5,5.576603870196556e-5
196.80824264409512,1.685569660964053e-5,3.127236077246332e-5
199.2683456771463,1.4276263368500035e-5,2.0331205325991482e-5
201.7284487101975,1.2100351993406344e-5,9.901647021309215e-6
204.1885517432487,9.15840104513308e-6,7.383305626076e-6
206.64865477629988,3.8030368184777687e-6,8.663515186799827e-6
209.10875780935106,5.4619330010706755e-6,1.0210650402904342e-5
211.56886084240224,9.33464791903868e-6,1.5350672071249357e-5
214.02896387545346,9.462264132926882e-6,1.5337012219207026e-5
216.48906690850464,1.0501708648072197e-5,1.1644766525008716e-5
218.94916994155582,1.3189924845585042e-5,1.1050991382730831e-5
221.409272974607,1.1490475224235621e-5,1.4540963510783243e-5
223.8693760076582,1.902849896286478e-5,2.1099854722972634e-5
226.3294790407094,3.3211794320264665e-5,3.3069153818027974e-5
228.78958207376058,3.885815144809297e-5,3.8052222440957365e-5
231.24968510681177,4.519448173772078e-5,4.662217486420095e-5
233.70978813986295,9.600086859394693e-5,0.00010190717892832235
236.16989117291416,0.00016786622950701167,0.00018481624154105178
238.62999420596535,0.00019083438588842988,0.0002143186340445722
241.09009723901653,0.0001895111706519212,0.00021375346684090273
243.5502002720677,0.00017247521196543883,0.00019585119072946307
246.0103033051189,0.00010692142112208442,0.00012015221567572673
248.4704063381701,4.747320019312793e-5,5.04012805214586e-5
250.9305093712213,2.8282702450553357e-5,3.2733994457329696e-5
253.39061240427247,2.1904506863323156e-5,2.7374773336881023e-5
255.85071543732366,1.2300825446795427e-5,1.561097936183162e-5
258.31081847037484,8.379839993089907e-6,1.4142869700440292e-5
260.77092150342605,1.013730684000776e-5,1.8084837857772757e-5
263.2310245364772,9.814846201594726e-6,1.4493737715423127e-5
265.6911275695284,9.881534229895914e-6,9.730715972370365e-6
268.15123060257963,7.2768723876969265e-6,6.354257032277427e-6
270.6113336356308,1.5123751274896596e-6,9.466399716676337e-7
273.071436668682,4.6436813250989335e-6,5.920631551938317e-6
275.53153970173315,7.808192470287946e-6,8.299301548300142e-6
277.99164273478436,1.0881967245426514e-5,7.96255216574385e-6
280.4517457678356,1.0533048176325477e-5,9.019399640931548e-6
282.91184880088673,9.049147439200108e-6,1.1430884181784465e-5
285.37195183393794,1.643727870027859e-5,2.4407005847986543e-5
287.8320548669891,2.0521451167562713e-5,3.046318017426704e-5
