#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:14:07.599
#Sample rate: 4000Hz
#Samples: 8192
#Trigger: None
#Channel 1: Range: 5 V/div Offset: -650 mV Attenuation: 1 X
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-1.16375,-1.6395971273224366,-1.3849061584253284
-1.1635,-1.1401219177613948,-1.0492592371299319
-1.1632500000000001,-0.6125863031695672,-0.7099639797339632
-1.163,-0.23096479474084952,-0.46552546096444763
-1.16275,0.4692248413985966,-0.002186776132748025
-1.1625,1.2271858996610416,0.49033859750678555
-1.16225,1.7005814386631497,0.7858538216906401
-1.1620000000000001,1.95906728736502,0.9317872657319834
-1.16175,2.07560049884892,0.9901606433486136
-1.1615,2.1109235969473903,1.001105651651706
-1.1612500000000001,2.0805523350309643,0.9719189628434508
-1.161,2.0260821370286157,0.9317872657320498
-1.16075,1.9967012423486095,0.9135455852269017
-1.1605,2.0858342936251164,0.9755672989444726
-1.16025,2.2409918273287364,1.0813690458744947
-1.1600000000000001,2.2660811306510125,1.0923140541775955
-1.15975,2.256507580699098,1.0813690458744947
-1.1595,2.086824660861426,0.960973954540267
-1.1592500000000001,1.875216194682852,0.8186888466000221
-1.159,1.6794536042864865,0.6873487469626887
-1.15875,1.5077899499760328,0.5742503278305546
-1.1585,1.362866211048675,0.48304192530471507
-1.15825,1.2509547133347876,0.41007520328401026
-1.1580000000000001,1.170404844773796,0.36264683397057373
-1.15775,1.1103225657651237,0.3225151368591645
-1.1575,1.072358488369542,0.30062512025294474
-1.1572500000000001,1.039346247156036,0.28238343974778507
-1.157,1.359895109339457,0.5195252863150674
-1.15675,2.5539478740333545,1.3622909256544156
-1.1565,3.2042890259397208,1.8183329382836133
-1.15625,3.3426103166244374,2.1649248678819615
-1.1560000000000001,3.343930806272978,2.281671623115036
-1.15575,3.3439308062729785,2.139386515174715
-1.1555,3.306296851289421,1.8949479964052072
-1.15525,3.0289940250959697,1.573894419514398
-1.155,2.4321327039551104,1.1506874317941642
-1.15475,2.024761647379946,0.8807105603174735
-1.1545,1.7415166177679344,0.6982937552657944
-1.15425,1.314338216464777,0.4027785310819398
-1.1540000000000001,0.8498559825905347,0.09266996249408527
-1.15375,0.4758272896409591,-0.15176855627541688
-1.1535,0.19192201520445185,-0.3341853613272387
-1.15325,-0.02034669579839249,-0.4655254609643879
-1.153,-0.15437639512544565,-0.545788855187223
-1.15275,-0.24846128258405115,-0.6005138967027663
-1.1525,-0.30887368400479476,-0.6333489216120687
-1.15225,-0.444223872980293,-0.7245573241379497
-1.1520000000000001,-0.6383358513157972,-0.8522490876741252
-1.15175,-0.7152543733434247,-0.896029120886606
-1.1515,-0.696437395851645,-0.8741391042803467
-1.15125,-0.555805248282109,-0.7683373573504207
-1.151,-0.3148158874232313,-0.5968655606017164
-1.15075,-0.09165313681964006,-0.4436354443581798
-1.1505,0.09948773980664716,-0.319592016923038
-1.15025,0.26487906828646324,-0.2064935977909455
-1.1500000000000001,0.39098582972211393,-0.1262302035682067
-1.14975,0.4863912068292907,-0.06785682595160634
-1.1495,0.5557169133777371,-0.020428456638136593
-1.14925,0.6009436838402406,0.005109896069086871
-1.149,0.6313149457567143,0.02335157657427469
-1.14875,0.1939027496768114,-0.3086470086203288
-1.1485,-1.0136850339137913,-1.180599336767355
-1.14825,-1.6524719013957154,-1.6147513327905487
-1.1480000000000001,-1.9244927689951297,-1.8336514988525636
-1.14775,-2.0634743045042407,-2.0270133122075307
-1.1475,-2.028151206405662,-1.8847282042670537
-1.14725,-1.8201740867605738,-1.6585313660030743
-1.147,-1.4372320886834598,-1.3630161418191171
-1.14675,-0.8888987621264417,-0.9653475068061497
-1.1465,-0.4864795417336192,-0.6880739631275974
-1.14625,-0.05897101801832627,-0.38526206674167235
-1.1460000000000001,0.664987431794192,0.13280165960509632
-1.14575,1.3447094783812301,0.6070853527399134
-1.1455,1.7398660057073507,0.8697655520145088
-1.14525,1.9445419012310887,0.997457315550626
-1.145,2.037966543865489,1.0485340209651774
-1.14475,2.0485304610538027,1.0412373487630888
-1.1445,2.009576016421848,1.0011056516517194
-1.14425,1.9650094907835742,0.9646222906413668
-1.1440000000000001,1.9683107149049262,0.9646222906413668
-1.14375,2.1046512711168317,1.0631273653693183
-1.1435,2.2304279101404036,1.1506874317941609
-1.14325,2.2284471756675934,1.1433907595920971
-1.143,2.186851751738537,1.1069073985817413
-1.14275,1.9864674475722803,0.95732561843923
-1.1425,1.7834421641091254,0.8113921743978867
-1.14225,1.5992338581375938,0.680052074760618
-1.1420000000000001,1.4387943658398812,0.5669536556285771
-1.14175,1.3103767475191526,0.47939358920367986
-1.1415,1.2090291669935638,0.41007520328398867
-1.14125,1.1367323587359526,0.36264683397055214
-1.141,1.0829224055578885,0.3261634729601997
-1.14075,1.0499101643443394,0.30427345635398
-1.1405,1.021189514488576,0.28603177584881206
