#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 16:05:48.236
#Sample rate: 4000Hz
#Samples: 8192
#Trigger: None
#Channel 1: Range: 50 mV/div Offset: -395 mV Attenuation: 1 X
#Channel 2: Range: 50 mV/div Offset: -105 mV Attenuation: 1 X
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V),Channel 2 (V)
-1.018,1.9027107209341623,1.6148409392255172
-1.01775,1.9033709657584332,1.6151730121265668
-1.0175,1.9040312105827035,1.6151730121265668
-1.01725,1.9043613329948392,1.6155050850276165
-1.017,1.905351700231246,1.6168333766318161
-1.01675,1.9066721898797867,1.6181616682360143
-1.0165,1.9079926795283282,1.6191578869391634
-1.01625,1.9086529243525987,1.620154105642312
-1.016,1.9093131691768697,1.6211503243454617
-1.01575,1.9099734140011406,1.6211503243454615
-1.0155,1.9106336588254107,1.6208182514444123
-1.01525,1.9109637812375464,1.620818251444412
-1.015,1.9112939036496819,1.6218144701475614
-1.01475,1.9119541484739524,1.6221465430486108
-1.0145,1.9122842708860879,1.6224786159496607
-1.01425,1.9119541484739526,1.6228106888507101
-1.014,1.9119541484739524,1.6234748346528098
-1.01375,1.9116240260618171,1.6238069075538597
-1.0135,1.9116240260618171,1.624138980454909
-1.01325,1.9109637812375464,1.624471053355959
-1.013,1.910633658825411,1.6248031262570088
-1.01275,1.910633658825411,1.6251351991580583
-1.0125,1.9103035364132757,1.6254672720591081
-1.01225,1.9099734140011406,1.6254672720591081
-1.012,1.909643291589005,1.6254672720591081
-1.01175,1.9093131691768697,1.6254672720591081
-1.0115,1.9093131691768697,1.6254672720591081
-1.01125,1.9103035364132757,1.6274597094654064
-1.011,1.9112939036496819,1.6287880010696059
-1.01075,1.9119541484739524,1.6304483655748538
-1.0105,1.9126143932982231,1.6321087300801025
-1.01025,1.9132746381224937,1.6327728758822015
-1.01,1.9129445157103586,1.6327728758822018
-1.00975,1.9122842708860877,1.632440802981152
-1.0095,1.9119541484739526,1.6321087300801027
-1.00925,1.9109637812375464,1.6311125113769533
-1.009,1.9096432915890045,1.6304483655748534
-1.00875,1.908652924352599,1.6294521468717047
-1.0085,1.9073324347040574,1.6271276365643565
-1.00825,1.9060119450555166,1.6257993449601584
-1.008,1.9046914554069745,1.6238069075538595
-1.00775,1.9040312105827033,1.62314276175176
-1.0075,1.9030408433462982,1.62314276175176
-1.00725,1.902380598522027,1.6234748346528098
-1.007,1.902710720934162,1.62380690755386
-1.00675,1.9020504761098915,1.6248031262570086
-1.0065,1.9010601088734855,1.6241389804549091
-1.00625,1.900399864049215,1.6241389804549091
-1.006,1.899739619224944,1.624471053355959
-1.00575,1.8997396192249438,1.6248031262570088
-1.0055,1.899409496812809,1.625467272059108
-1.00525,1.8990793744006733,1.6264634907622573
-1.005,1.8990793744006733,1.6267955636633071
-1.00475,1.8990793744006733,1.6274597094654064
-1.0045,1.8994094968128088,1.627791782366456
-1.00425,1.8994094968128088,1.6281238552675055
-1.004,1.8994094968128088,1.6284559281685556
-1.00375,1.8994094968128086,1.6284559281685558
-1.0035,1.8990793744006735,1.628788001069605
-1.00325,1.898749251988538,1.6287880010696052
-1.003,1.8974287623399961,1.6277917823664554
-1.00275,1.8964383951035906,1.6261314178612074
-1.0025,1.8954480278671844,1.6254672720591081
-1.00225,1.8941275382186435,1.6248031262570088
-1.002,1.8931371709822369,1.6248031262570086
-1.00175,1.8928070485701014,1.6254672720591083
-1.0015,1.8928070485701014,1.6261314178612072
-1.00125,1.8931371709822369,1.6271276365643565
-1.001,1.8934672933943724,1.6281238552675061
-1.00075,1.8937974158065076,1.629120073970655
-1.0005,1.8947877830429136,1.6301162926738042
-1.00025,1.8954480278671841,1.631776657179052
-1,1.8964383951035906,1.6334370216843013
-0.9997499999999999,1.8970986399278615,1.6347653132885003
-0.9995,1.8977588847521316,1.6354294590905993
-0.99925,1.8984191295764026,1.6364256777937487
-0.9989999999999999,1.8990793744006735,1.6370898235958484
-0.99875,1.8994094968128088,1.6377539693979475
-0.9984999999999999,1.8994094968128088,1.638418115200047
-0.9982500000000001,1.8994094968128088,1.639746406804245
-0.998,1.8994094968128088,1.640742625507395
-0.9977499999999999,1.899409496812809,1.6414067713094946
-0.9975,1.8997396192249438,1.6417388442105438
-0.99725,1.899739619224944,1.642070917111594
-0.9969999999999999,1.8997396192249438,1.642070917111594
-0.99675,1.8994094968128088,1.642070917111594
-0.9964999999999999,1.898749251988538,1.642070917111594
-0.9962500000000001,1.8984191295764028,1.6424029900126433
-0.996,1.8980890071642673,1.641738844210544
-0.9957499999999999,1.8977588847521318,1.6414067713094946
-0.9955,1.8977588847521318,1.641738844210544
-0.99525,1.8970986399278613,1.641738844210544
-0.9949999999999999,1.8967685175157258,1.6414067713094946
-0.99475,1.8967685175157258,1.641738844210544
-0.9944999999999999,1.8980890071642673,1.6433992087157927
-0.9942500000000001,1.8990793744006729,1.64539164612209
-0.994,1.9000697416370795,1.6470520106273396
-0.99375,1.9010601088734855,1.6483803022315384
-0.9935,1.901390231285621,1.649044448033638
-0.99325,1.901390231285621,1.649044448033638
-0.993,1.9010601088734855,1.649044448033638
-0.99275,1.9003998640492148,1.6487123751325883
-0.9925,1.9000697416370795,1.6480482293304888
-0.99225,1.8994094968128088,1.6473840835283893
-0.992,1.8984191295764026,1.6470520106273396
-0.99175,1.8974287623399966,1.64671993772629
-0.9915,1.896108272691455,1.6460557919241905
-0.99125,1.895117905455049,1.6457237190231409
-0.991,1.8941275382186429,1.6450595732210413
-0.99075,1.8934672933943721,1.6447275003199917
-0.9905,1.8928070485701014,1.6443954274189418
-0.99025,1.8921468037458309,1.6440633545178922
-0.99,1.8918166813336954,1.6433992087157927
-0.98975,1.8914865589215601,1.6433992087157927
-0.9895,1.8911564365094247,1.643067135814743
-0.98925,1.8908263140972894,1.6427350629136934
-0.989,1.8908263140972894,1.6427350629136934
-0.98875,1.8908263140972894,1.643067135814743
-0.9885,1.8908263140972894,1.6433992087157927
-0.98825,1.8908263140972894,1.6437312816168426
-0.988,1.8911564365094247,1.6440633545178922
-0.98775,1.8914865589215601,1.6440633545178922
-0.9875,1.8914865589215601,1.6443954274189418
-0.98725,1.8918166813336954,1.6450595732210413
-0.987,1.8918166813336954,1.645391646122091
-0.98675,1.8918166813336954,1.6460557919241905
-0.9865,1.8914865589215601,1.6457237190231409
-0.98625,1.8901660692730187,1.6440633545178922
-0.986,1.8891757020366124,1.6427350629136934
-0.98575,1.8881853348002064,1.642070917111594
-0.9855,1.8875250899759357,1.640742625507395
-0.98525,1.8878552123880712,1.6397464068042458
-0.985,1.8881853348002064,1.6390822610021465
-0.98475,1.8885154572123417,1.6400784797052956
-0.9845,1.8891757020366124,1.6410746984084448
-0.98425,1.8898359468608832,1.642070917111594
-0.984,1.890496191685154,1.643067135814743
-0.98375,1.8914865589215601,1.6443954274189418
-0.9835,1.8928070485701014,1.6460557919241905
