#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:45:57.297

Frequency (Hz),Channel 1 (V),Channel 2 (V)
0,0.925274031488664,0.07501076687654509
1.953125,0.8929127255287467,0.07238590631786994
3.90625,0.5969278947453176,0.048392878390090384
5.859375,0.179640870682823,0.014565905798711632
7.8125,0.01299575423569814,0.0010520724370149982
9.765625,1.1808684384846103e-5,2.6311140841162798e-5
11.71875,3.102203046775866e-5,3.066491371925077e-5
13.671875,3.344478477624715e-5,3.3408586844914923e-5
15.625,3.1129174290579364e-5,3.16601456284849e-5
17.578125,2.9325401228730817e-5,3.1748017175739436e-5
19.53125,2.6092403874298924e-5,3.404572371369691e-5
21.484375,2.274068144684811e-5,2.8537382169005627e-5
23.4375,1.8415326027381882e-5,2.005221597417975e-5
25.390625,1.4931543924034554e-5,1.273504623107706e-5
27.34375,1.1084322856477288e-5,3.4219869229113005e-6
29.296875,7.647605080361705e-6,6.808461734674097e-6
31.25,3.1090137208629318e-6,1.17510369949049e-5
33.203125,3.0741083856574985e-6,1.1719084172038474e-5
35.15625,8.554120752484166e-6,1.2711328602424846e-5
37.109375,1.813072713993314e-5,1.5133178903385503e-5
39.0625,2.8876846171247202e-5,1.6389828483153173e-5
41.015625,3.7027259682519225e-5,1.6832532625375236e-5
42.96875,3.985922424927036e-5,1.838456242924924e-5
44.921875,3.7147174503123725e-5,1.7199288114284216e-5
46.875,3.209004202369526e-5,1.5005717133233213e-5
48.828125,2.779158175931513e-5,1.2689539295059959e-5
50.78125,3.195826261173131e-5,1.5780545227847193e-5
52.734375,0.0002867763888651181,0.0002745595510959967
54.6875,0.0022362334799087597,0.002252015675574176
56.640625,0.005740786887925304,0.005810933630659052
58.59375,0.007432671325271082,0.00752933236105034
60.546875,0.007502403650399831,0.007599447251982004
62.5,0.006864384822712384,0.006954907600816933
64.453125,0.00384469976687567,0.0038947032579272497
66.40625,0.0008388584856067512,0.0008465618639385718
68.359375,2.403984002765462e-5,1.6825153484695547e-5
70.3125,3.987133778714278e-5,3.476036616128267e-5
72.265625,3.1876633279714575e-5,2.845122034117653e-5
74.21875,2.911963484944919e-5,2.9393813930462964e-5
76.171875,2.7324837464352065e-5,2.7468124715764363e-5
78.125,2.9826836409834034e-5,3.041015894801443e-5
80.078125,2.820118047202197e-5,2.978892883633568e-5
82.03125,2.3197315213577935e-5,1.9231020563628223e-5
83.984375,1.7122126563793655e-5,1.1926936341461412e-5
85.9375,1.099917782326368e-5,1.4596411711862711e-5
87.890625,1.0158302265965826e-5,1.471260491567051e-5
89.84375,5.476569733848491e-6,1.3686917184648767e-5
91.796875,4.271634994045924e-6,1.365152687624038e-5
93.75,5.7274515723175974e-6,1.1770905101811964e-5
95.703125,6.634703743623466e-6,8.018355881850194e-6
97.65625,1.4936000325634304e-5,7.921217987883018e-6
99.609375,2.5204792166906885e-5,1.4651589056568574e-5
101.5625,2.7500686521117957e-5,2.11506919086138e-5
103.515625,2.515681450768494e-5,2.3437251002732334e-5
105.46875,2.1842564277552363e-5,2.3549713028528193e-5
107.421875,1.822850238123624e-5,1.8754164749452504e-5
109.375,2.7485089289097883e-5,2.2284436659667343e-5
111.328125,3.974348766853998e-5,3.3328665343602014e-5
113.28125,3.5327309316742354e-5,2.5033478555126186e-5
115.234375,9.641146379137046e-5,0.00011027946794581653
117.1875,0.00020562959322352134,0.00024280364328345397
119.140625,0.0002433577628990868,0.00028619012962209823
121.09375,0.00024412005067314899,0.0002881007211536904
123.046875,0.00020358056994897682,0.00024354327481363716
125,9.143453742893724e-5,0.00011106220585639648
126.953125,3.8519678591815737e-5,3.676616379404917e-5
128.90625,4.6572785943583287e-5,4.288753304009885e-5
130.859375,3.310623392566044e-5,3.312772002199269e-5
132.8125,2.361466789118205e-5,3.130673113013026e-5
134.765625,2.5947410034549677e-5,3.6169307092021475e-5
136.71875,2.9085586031762116e-5,3.554724024705144e-5
138.671875,3.2006169560679406e-5,3.003532381104581e-5
