#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321B02866
#Date Time: 2021-03-17 15:08:44.421

Frequency (Hz),Channel 1 (V),Channel 2 (V)
0,3.2046851705763966,2.707794585640928
0.48828125,3.0925828038589103,2.613000603430018
0.9765625,2.0673864768162833,1.7467548690897745
1.46484375,0.6220729005863459,0.5256586058197602
1.953125,0.04495280918720965,0.03804233771948611
2.44140625,8.880577103172118e-5,0.00024014565460222552
2.9296875,0.00015264262151285781,0.0001959807067870838
3.41796875,0.00019782127217306494,0.00015987204318765197
3.90625,0.0001805001044061738,0.0001345768572912869
4.39453125,0.00015175940056926323,4.8620866775545685e-5
4.8828125,0.00013667855620283248,9.999473877298204e-5
5.37109375,6.8961274563617e-5,0.00024264729599392771
5.859375,9.048637993525871e-5,0.00027605029822194444
6.34765625,0.00017474127529004216,0.00017840908895233533
6.8359375,0.0002385098343340082,0.00010270842942179735
7.32421875,0.0002960313393412958,6.080110481166925e-5
7.8125,0.00027539287265277405,6.805427244522808e-5
8.30078125,0.00017741663946264623,3.418086777713083e-5
8.7890625,0.0001009179680498244,5.3976135460134774e-5
9.27734375,0.00010805155487364458,5.6748581989064925e-5
9.765625,0.00011694836187105663,7.88339652993567e-5
10.25390625,0.0001050440384158208,0.00011513357616416186
10.7421875,9.168506382954895e-5,0.00012355882233983003
11.23046875,7.579558479111904e-5,9.47585022859357e-5
11.71875,4.090659737918951e-5,9.044631612993246e-5
12.20703125,0.00013084642874600991,0.00012170503876579007
12.6953125,0.0001958737158809739,0.00013128393518603446
13.18359375,0.00021740477876475262,0.0001759362443273084
13.671875,0.0001891303317569889,0.00022779651399422516
14.16015625,0.0001310778043932583,0.00018247874647159813
14.6484375,0.00010538950548674504,0.00019722358547972352
15.13671875,0.00011198324740309239,0.00028524492355999945
15.625,0.00010646401895991285,0.00029159743148387065
16.11328125,0.00011502558636941955,0.0002970143117985732
16.6015625,0.00011122369308535013,0.00033580381187070177
17.08984375,5.516583300289779e-5,0.0003420045339028008
17.578125,2.8722279461172188e-5,0.00033359776772166113
18.06640625,7.3768221479016e-5,0.0003043110338651582
18.5546875,9.539139063125195e-5,0.0002564490814866288
19.04296875,9.877494562552617e-5,0.00022089675826800881
19.53125,9.640084429616652e-5,0.0001596381258820082
20.01953125,6.519831699405768e-5,6.215046695784052e-5
20.5078125,4.486714861504378e-6,2.9171913629106633e-5
20.99609375,7.07694797957522e-5,6.6688235571411015e-6
21.484375,0.00016088323121808224,7.910272379510987e-5
21.97265625,0.00024620834290047926,0.0001590174765254476
22.4609375,0.0002786467726722518,0.00019062618120310032
22.94921875,0.00025160639580355034,0.00023461522971687102
23.4375,0.00021540734434185446,0.0002615914268776449
23.92578125,0.00019690917804540738,0.00021690589208888723
24.4140625,0.0001747609360347791,0.00015259207411300299
24.90234375,0.00010546334459948716,0.00014551882981247213
25.390625,2.8981409482680063e-5,0.00017627887062328872
25.87890625,0.00010210517659962949,0.0002866023878942143
26.3671875,0.00012061526239877962,0.00038956630009092096
26.85546875,0.00012517902926748785,0.00040517366631612596
27.34375,0.00012298057586311099,0.00040605656553426614
27.83203125,0.00012541517760088585,0.0003736500353228069
28.3203125,8.154907602609135e-5,0.0002879756296732434
28.80859375,3.844581703942439e-5,0.00023439821140263463
29.296875,6.941707200409525e-5,0.0002510858265084071
29.78515625,6.905067171181238e-5,0.0002471144857900902
30.2734375,2.0749486126499838e-5,0.00020991108576484777
30.76171875,1.6450222352943393e-5,0.00018536051601356578
31.25,2.830839252206903e-5,0.0001389553144367527
31.73828125,6.483344955253004e-5,0.00018651316892582742
32.2265625,8.817684408649598e-5,0.00021890255384135398
32.71484375,9.17470425073676e-5,0.00020237411230372896
33.203125,0.0001159667583352467,0.0001466772156795709
33.69140625,0.00014182523840115455,7.45102992858285e-5
34.1796875,0.00013830781131060014,2.5144481679262044e-5
34.66796875,0.00015984248109225983,5.11553055354039e-5
35.15625,0.0001492688026048028,0.0001662345937031509
35.64453125,0.00012127757396576463,0.0002822422393946473
36.1328125,0.00016321430315251631,0.0002911237383046283
36.62109375,0.00016521200942341466,0.00017899944621259102
37.109375,0.00015001670862813943,8.336934248347606e-5
37.59765625,0.0001314314358120006,0.0001803771727864093
38.0859375,8.407892951710912e-5,0.0003175993947195179
38.57421875,0.00012035794847517316,0.0002635466089192643
39.0625,0.00016190619095713004,0.00014897793520824866
39.55078125,0.00012278450072636228,0.00020691378897884493
40.0390625,6.004083798103019e-5,0.00023653632592572003
40.52734375,3.5515109015083095e-5,0.00022706208664189636
41.015625,3.947072594839938e-5,0.00016054678927374872
41.50390625,5.934034596605106e-5,3.9712108134904875e-5
41.9921875,3.9931168409696644e-5,5.046404336484452e-5
42.48046875,8.674952380359236e-5,6.862712169152745e-5
42.96875,0.00014111963509103793,8.966119017303866e-5
43.45703125,0.0001845863542322879,6.049603390962885e-5
43.9453125,0.00018253442654872092,8.59921332776851e-5
44.43359375,0.00010477006990043681,0.00013493162069763343
44.921875,8.300906895177367e-5,0.00012764916196968422
45.41015625,8.992551060986722e-5,0.00014322770946035654
45.8984375,8.982244750452453e-5,0.00016883705353765415
46.38671875,0.00010291852039001067,0.00018431248149160842
46.875,7.550176360651668e-5,0.00017382884217875412
47.36328125,6.604683593810861e-5,0.00015610262250452387
47.8515625,0.00011833164250713524,0.00014360804326254127
48.33984375,0.00017112228172012304,8.772000573520378e-5
48.828125,0.00020615685531435825,0.0001261642906354663
49.31640625,0.00019527919301626015,0.00015620136670399198
